reason,channel,status,user_id,created_date
METAL_RESERVE_PLAN,SMS,SENT,user_9526,2018-10-17 19:10:06.011817+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6137,2018-10-20 15:57:56.681811+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_736,2018-10-21 02:03:31.131167+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8718,2018-10-20 20:02:53.232359+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9531,2018-10-20 15:51:18.933079+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_7063,2018-10-20 11:27:04.998870+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4085,2018-10-20 05:03:48.165903+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9808,2018-10-21 09:06:35.259572+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_716,2018-10-21 00:46:02.661614+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2094,2018-10-20 20:06:56.235104+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2920,2018-10-20 14:14:59.681452+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8085,2018-10-11 22:52:32.921016+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3331,2018-10-11 10:44:32.564062+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3192,2018-10-11 17:24:54.584163+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5295,2018-10-11 12:24:23.752110+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8885,2018-10-11 07:32:45.652707+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5238,2018-10-13 01:37:23.298675+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_7075,2018-10-11 12:02:23.488050+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8548,2018-10-11 07:59:52.018706+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8886,2018-10-11 11:23:50.104132+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4305,2018-10-11 06:07:55.541480+00:00
