created_date,country,decade,daily_volume,transaction_count
2018-01-21 00:00:00+00:00,PL,1960s,20.96,1
2018-01-21 00:00:00+00:00,PL,1980s,18.98,5
2018-01-21 00:00:00+00:00,PL,1990s,2093.15,8
2018-01-21 00:00:00+00:00,RO,1980s,13.78,2
2018-01-21 00:00:00+00:00,SI,1970s,6.71,1
2018-01-22 00:00:00+00:00,BE,1970s,8.51,1
2018-01-22 00:00:00+00:00,BG,1980s,158.3,6
2018-01-22 00:00:00+00:00,CH,1960s,37.32,1
2018-01-22 00:00:00+00:00,CH,1990s,82.1,3
2018-01-22 00:00:00+00:00,CZ,1990s,13.620000000000001,2
2018-01-22 00:00:00+00:00,DE,1990s,523.01,3
2018-01-22 00:00:00+00:00,DK,1980s,16.29,2
2018-01-22 00:00:00+00:00,ES,1980s,3609.72,16
2018-01-22 00:00:00+00:00,FR,1940s,170.21,1
2018-01-22 00:00:00+00:00,FR,1950s,401.7,2
2018-01-22 00:00:00+00:00,FR,1960s,8.51,1
2018-01-22 00:00:00+00:00,FR,1970s,142.53,2
2018-01-22 00:00:00+00:00,FR,1980s,98.72,4
